Code,Population,Area
101,2,99.62
111,3202,0.61
112,8385,0.31
113,16968,0.18
114,3106,0.15
115,4415,0.08
116,20330,0.17
117,40889,0.39
118,53752,0.75
119,11483,0.65
121,2,0.87
122,26520,1.03
123,49812,1.11
124,74475,1.51
125,7834,0.81
126,18298,1.27
127,86295,1.75
128,2122,1.23
129,14773,2.7
131,526,1.15
132,21969,1.43
133,22739,1.38
134,18911,5.8
213,3479,1.09
214,20887,4.04
215,3322,3.65
216,39107,4.84
221,122,14.18
226,12827,2.56
227,5340,1.11
228,11784,2.97
231,34137,1.7
232,50587,2.73
233,13488,1.79
234,7928,2.26
241,67660,2.21
242,11477,1.44
243,9979,1.73
244,7240,1.75
245,37212,2.32
246,2906,0.93
247,3040,0.73
248,8590,2.4
251,70020,9.35
252,84,10.47
261,9078,4.97
262,18434,6.86
263,12607,4.31
264,144012,5.58
265,16312,3.63
266,6119,2.43
267,2,1.96
268,7438,1.37
271,3756,24.18
281,14418,16.41
282,6370,12.69
283,1884,10.52
284,10662,3.29
302,50,2.48
303,7,74.1
304,3,0.12
311,7,0.31
312,53872,0.88
313,39228,0.83
314,6854,0.98
315,5959,3.4
316,51003,1.23
317,43254,1.96
318,78001,2.11
319,16408,1.52
321,8533,22.63
322,15290,0.88
323,26199,1.67
324,1466,0.8
325,3632,4.12
326,7747,7.24
332,22676,9.96
333,60857,1.98
334,42367,2.69
335,18649,0.83
336,14297,1.38
337,9145,10.79
342,11242,3.34
343,12654,4.87
345,23616,2.66
346,25817,6.59
347,8019,10.36
352,14961,3.44
353,9543,2.43
354,22467,3.57
355,5838,5.1
356,13153,3.05
357,7443,1.89
358,54036,2.42
359,22541,2.24
362,13950,3.19
363,9220,2.19
364,33186,4.83
365,131134,5.05
366,8198,2.61
367,4867,1.85
368,21060,4.4
369,42665,4.69
372,4942,5.87
373,43201,3.95
375,16103,4.95
376,17208,6.41
381,26391,26.74
382,6853,4.28
383,29861,1.07
384,0,6.23
388,23674,3.84
392,66045,8.9
393,43234,9.71
394,30043,11.08
412,5395,6.31
413,2,7.79
415,4226,7.33
416,20543,8.31
421,27445,2.36
422,11837,3.56
423,16210,6.22
424,14974,5.15
425,0,4.25
431,327,10.54
501,5,58.14
502,4,123.37
511,3687,23.81
512,10418,53.26
513,2101,48.19
516,0,30.01
518,30067,32.57
521,10149,141.84
531,12791,26.11
532,4741,16.13
533,10806,19.37
591,79425,21.32
592,1014,5.06
593,218,365.01
594,10700,34.84
597,77366,18.77
598,62062,17.17
599,194734,22.07
611,117,1.75
612,2247,2.65
613,1924,4.17
614,20455,5.45
615,2693,7.49
616,1301,6.32
617,4076,6.17
618,7116,23.82
621,109468,8.43
622,1435,8.63
624,10962,7.9
626,52733,9.77
631,7958,36.77
643,11439,10.53
645,10847,30.19
646,176,6.85
648,22504,16.32
664,19995,7.81
665,9703,8.41
671,15127,5.9
672,7637,4.77
673,12022,3.74
674,11896,4.18
675,1861,3.26
676,8193,4.3
677,2574,3.27
681,31371,6.8
682,22859,9.15
683,10988,8.09
684,8780,2.95
685,20596,16.42
686,14,10.43
711,5997,39.72
721,6262,52.4
724,2,48.99
727,47,25.37
731,3475,33.85
735,769,15.46
736,610,13.06
811,12690,10.44
812,3310,11.49
813,0,7.49
814,5000,60
821,438,30.69
824,313,35.22
826,56,24.97
831,1670,73.75
835,172,32.69
841,1280,152.59
845,211,41.73
847,222,35.16
851,201,82.87
857,677,34.63
861,110,76.47
891,15792,128.75
911,8,13.88
912,2,8.52
913,3785,15.29
914,5200,61.69
915,700,17.5
917,143,27.33
919,3,11.78
921,3400,17.8
922,6610,14.35
923,4,12.34
924,8,13.24
925,85,25.16
931,3088,112.69
941,58,91.83
945,460,140.53
951,620,88.69
956,40,82.26
961,685,170.67
967,30,70.86
971,3,190.16
975,3,58.95
978,0,69.54
981,350,139.91
987,300,28.34
988,0,37
991,12,143.57
